"mgmt.unit"	"Année"	"scen"	"Historique"	"brfuel"	"Climat"	"Climat&Végétation"
"11161"	2085	"SSP3-7.0 - sans coupe"	0.00742	0.00807	0.01096	0.01194
"11161"	2085	"SSP3-7.0 - sans feu"	0.00742	0.00731	0.01096	0.01077
"11161"	2085	"SSP3-7.0 - sans pert"	0.00742	0.00874	0.01096	0.01294
"11161"	2085	"climat stable - reboisement"	0.00742	0.00706	0.00742	0.00706
"11161"	2085	"climat stable - recup70%"	0.00742	0.00711	0.00742	0.00711
"11161"	2085	"climat stable - reference"	0.00742	0.00704	0.00742	0.00704
"11161"	2085	"climat stable - reserve"	0.00742	0.00715	0.00742	0.00715
"11161"	2085	"climat stable - sans coupe"	0.00742	0.0088	0.00742	0.0088
"11161"	2085	"climat stable - sans feu"	0.00742	0.00746	0.00742	0.00746
"11161"	2085	"climat stable - sans pert"	0.00742	0.00916	0.00742	0.00916
"11161"	2090	"SSP2-4.5 - reboisement"	0.00742	0.00699	0.00849	0.00801
"11161"	2090	"SSP2-4.5 - recup70%"	0.00742	0.00672	0.00849	0.00773
"11161"	2090	"SSP2-4.5 - reference"	0.00742	0.00682	0.00849	0.00784
"11161"	2090	"SSP2-4.5 - reserve"	0.00742	0.00674	0.00849	0.00779
"11161"	2090	"SSP2-4.5 - sans coupe"	0.00742	0.0078	0.00849	0.009
"11161"	2090	"SSP2-4.5 - sans feu"	0.00742	0.00715	0.00849	0.00824
"11161"	2090	"SSP2-4.5 - sans pert"	0.00742	0.00849	0.00849	0.00976
"11161"	2090	"SSP3-7.0 - reboisement"	0.00742	0.00674	0.01096	0.00996
"11161"	2090	"SSP3-7.0 - recup70%"	0.00742	0.00666	0.01096	0.00984
"11161"	2090	"SSP3-7.0 - reference"	0.00742	0.00675	0.01096	0.00998
"11161"	2090	"SSP3-7.0 - reserve"	0.00742	0.00661	0.01096	0.00979
"11161"	2090	"SSP3-7.0 - sans coupe"	0.00742	0.00779	0.01096	0.0115
"11161"	2090	"SSP3-7.0 - sans feu"	0.00742	0.00717	0.01096	0.0106
"11161"	2090	"SSP3-7.0 - sans pert"	0.00742	0.00851	0.01096	0.01254
"11161"	2090	"climat stable - reboisement"	0.00742	0.00702	0.00742	0.00702
"11161"	2090	"climat stable - recup70%"	0.00742	0.00699	0.00742	0.00699
"11161"	2090	"climat stable - reference"	0.00742	0.00688	0.00742	0.00688
"11161"	2090	"climat stable - reserve"	0.00742	0.00705	0.00742	0.00705
"11161"	2090	"climat stable - sans coupe"	0.00742	0.00862	0.00742	0.00862
"11161"	2090	"climat stable - sans feu"	0.00742	0.00739	0.00742	0.00739
"11161"	2090	"climat stable - sans pert"	0.00742	0.00903	0.00742	0.00903
"11161"	2095	"SSP2-4.5 - reboisement"	0.00742	0.0068	0.00849	0.0078
"11161"	2095	"SSP2-4.5 - recup70%"	0.00742	0.0066	0.00849	0.0076
"11161"	2095	"SSP2-4.5 - reference"	0.00742	0.00668	0.00849	0.00768
"11161"	2095	"SSP2-4.5 - reserve"	0.00742	0.00662	0.00849	0.00764
"11161"	2095	"SSP2-4.5 - sans coupe"	0.00742	0.00755	0.00849	0.00869
"11161"	2095	"SSP2-4.5 - sans feu"	0.00742	0.00704	0.00849	0.00808
"11161"	2095	"SSP2-4.5 - sans pert"	0.00742	0.00816	0.00849	0.0094
"11161"	2095	"SSP3-7.0 - reboisement"	0.00742	0.00666	0.01096	0.00984
"11161"	2095	"SSP3-7.0 - recup70%"	0.00742	0.00649	0.01096	0.00961
"11161"	2095	"SSP3-7.0 - reference"	0.00742	0.00665	0.01096	0.00983
"11161"	2095	"SSP3-7.0 - reserve"	0.00742	0.00648	0.01096	0.00959
"11161"	2095	"SSP3-7.0 - sans coupe"	0.00742	0.00752	0.01096	0.01113
"11161"	2095	"SSP3-7.0 - sans feu"	0.00742	0.00706	0.01096	0.01044
"11161"	2095	"SSP3-7.0 - sans pert"	0.00742	0.00819	0.01096	0.01208
"11161"	2095	"climat stable - reboisement"	0.00742	0.00695	0.00742	0.00695
"11161"	2095	"climat stable - recup70%"	0.00742	0.00689	0.00742	0.00689
"11161"	2095	"climat stable - reference"	0.00742	0.00681	0.00742	0.00681
"11161"	2095	"climat stable - reserve"	0.00742	0.00692	0.00742	0.00692
"11161"	2095	"climat stable - sans coupe"	0.00742	0.00844	0.00742	0.00844
"11161"	2095	"climat stable - sans feu"	0.00742	0.0073	0.00742	0.0073
"11161"	2095	"climat stable - sans pert"	0.00742	0.00885	0.00742	0.00885
"11161"	2100	"SSP2-4.5 - reboisement"	0.00742	0.00671	0.00849	0.00772
"11161"	2100	"SSP2-4.5 - recup70%"	0.00742	0.00653	0.00849	0.00751
